serial_number,name,year,act_number,section,page_number,source
1,"Aadhaar (Targeted Delivery of Financial and other subsidies, benefits and Services) Act",2016,18,A,1,table
2,Academy of Scientific and Innovative Research Act,2012,13,,1,table
3,Acquired Territories (Merger) Act,1960,64,,1,table
4,Acquisition of Certain Area at Ayodhya Act,1993,33,,1,table
5,Actuaries Act,2006,35,,1,table
6,Administrative Tribunals Act,1985,13,,1,table
7,Administrators-General Act,1963,45,,1,table
8,Admiralty (Jurisdiction and Settlement of Maritime Claims) Act,2017,22,,1,table
9,Advocates Act,1961,25,,1,table
10,Advocates’ Welfare Fund Act,2001,45,,1,table
11,African Development Bank Act,1983,13,,1,table
12,African Development Fund Act,1982,1,,1,table
13,Agricultural Produce (Grading and Marking) Act,1937,1,,1,table
14,Agriculture land Processed Food Products Export Development Authority Act,1986,2,,1,table
15,Agriculturists' Loans Act,1884,12,,1,table
16,Airports Authority of India Act,1994,55,,1,table
17,Airports Economic Regulatory Authority of India Act,2008,27,,1,table
18,Air Force Act,1950,45,,1,table
19,Air (Prevention and Control of Pollution) Act,1981,14,,1,table
20,Ajmer Tenancy and Land Records Act,1950,42,,1,table
21,Aligarh Muslim University Act,1920,40,,1,table
22,All-India Council for Technical Education Act,1987,52,,1,table
23,All-India Institute of Medical Sciences Act,1956,25,,1,table
24,All-India Services Act,1951,61,,1,table
25,Anand Marriage Act,1909,7,,1,table
26,Ancient Monuments and Archaeological Sites and Remains Act,1958,24,,1,table
27,Ancient Monuments Preservation Act,1904,7,,1,table
28,Andhra Pradesh Legislative Council Act,2006,1,,1,table
29,Andhra Pradesh and Madras (Alteration of Boundaries) Act,1959,56,,1,table
30,Andhra Pradesh and Mysore (Transfer of Territory) Act,1968,36,,1,table
31,Andhra Pradesh Reorganisation Act,2014,6,,1,table
32,Andhra State Act,1953,30,,1,table
33,Anusandhan National Research Foundation Act,2023,25,,1,table
34,Anti-Apartheid (United Nations Convention) Act,1981,48,,1,table
35,Anti-Hijacking Act,2016,30,,1,table
36,Antiquities and Art Treasures Act,1972,52,,1,table
37,Apprentices Act,1961,52,,1,table
38,Arbitration and Conciliation Act,1996,26,,1,table
39,Architects Act,1972,20,,1,table
40,Armed Forces (Emergency Duties) Act,1947,15,,1,table
41,Armed Forces (Jammu and Kashmir) Special Powers Act,1990,21,,1,table
42,Armed Forces (Punjab and Chandigarh) Special Powers Act,1983,34,,1,table
43,Armed Forces (Special Powers) Act,1958,28,,1,table
44,Armed Forces Tribunal Act,2007,55,,1,table
45,Arms Act,1959,54,,1,table
46,Army Act,1950,46,,1,table
47,Army and Air Force (Disposal of Private Property) Act,1950,40,,1,table
1,"Aadhaar (Targeted Delivery of Financial and other subsidies, benefits",2016,18,,1,text
14,Agriculture land Processed Food Products Export Development,1986,2,,1,text
50,Asiatic Society Act,1984,5,,2,table
51,Assam (Alteration of Boundaries) Act,1951,47,,2,table
52,Assam Reorganisation (Meghalaya)Act,1969,55,,2,table
53,Assam Rifles Act,2006,47,,2,table
54,Assam University Act,1989,23,,2,table
55,Assisted Reproductive Technology (Regulation) Act,2021,42,,2,table
56,Atomic Energy Act,1962,33,,2,table
57,Auroville Foundation Act,1988,54,,2,table
58,Authoritative Texts (Central Laws) Act,1973,50,,2,table
59,Baba saheb Bhimrao Ambedkar University Act,1994,58,B,2,table
60,Banaras Hindu University Act,1915,16,,2,table
61,Bankers' Books Evidence Act,1891,18,,2,table
62,Banking Companies (Acquisition and Transfer of Undertakings) Act,1970,5,,2,table
64,Banking Regulation Act,1949,10,,2,table
65,Banning of Unregulated Deposit Schemes Act,2019,21,,2,table
66,Beedi and Cigar Workers (Conditions of Employment) Act,1966,32,,2,table
67,"Bengal, Agra and Assam Civil Courts Act",1887,12,,2,table
68,Bengal Bonded Warehouse Association Act,1838,5,,2,table
70,Bengal Embankment Act,1855,32,,2,table
71,Bengal Ghatwali Lands Act,1859,5,,2,table
72,Bengal Indigo Contracts Act,1836,10,,2,table
73,Bengal Land holders' Attendance Act,1848,20,,2,table
74,Bengal Land-revenue Sales Act,1859,11,,2,table
75,Bengal Military Police Act,1892,5,,2,table
76,Betwa River Board Act,1976,63,,2,table
77,Bharat Petroleum Corporation Limited (Determination of Conditions of Service of Employees) Act,1988,44,,2,table
78,Bharatiya Nagarik Suraksha Sanhita,2023,46,,2,table
79,Bharatiya Nyaya Sanhita,2023,45,,2,table
80,Bharatiya Sakshya Adhiniyam,2023,47,,2,table
81,Bharatiya Vayuyan Adhiniyam,2024,16,,2,table
82,Bhopal Gas Leak Disaster (Processing of Claims) Act,1985,21,,2,table
83,Bihar and Uttar Pradesh (Alteration of Boundaries) Act,1968,24,,2,table
84,Bihar and West Bengal (Transfer of Territories) Act,1956,40,,2,table
85,Bihar Land Reforms Laws (Regulating Mines and Minerals) Validation Act,1969,42,,2,table
86,"Bihar Reorganisation Act,",2000,30,,2,table
87,Bihar Value Added Tax Act,2005,27,,2,table
88,Bilateral Netting of Qualified Financial Contracts Act,2020,30,,2,table
89,Biological Diversity Act,2003,18,,2,table
90,Bird and Company Limited (Acquisition and Transfer of Undertakings and Other Properties) Act,1980,67,,2,table
91,"Births, Deaths and Marriages Registration Act",1886,6,,2,table
